Date/Time;Open;High;Low;Close;Range (high - low)
01/04/2002;1147.39;1147.84;1132.87;1146.55;14.97
02/04/2002;1146.54;1146.54;1135.71;1136.76;10.83
03/04/2002;1136.76;1138.85;1119.68;1125.51;19.17
04/04/2002;1125.40;1130.45;1120.06;1126.34;10.39
05/04/2002;1126.34;1133.31;1119.49;1122.73;13.82
08/04/2002;1122.73;1125.41;1111.79;1125.29;13.62
09/04/2002;1125.29;1128.29;1116.73;1117.79;11.56
10/04/2002;1117.80;1131.76;1117.80;1130.46;13.96
11/04/2002;1130.47;1130.47;1102.42;1103.68;28.05
12/04/2002;1103.69;1112.77;1102.74;1111.01;10.03
15/04/2002;1111.01;1114.86;1099.41;1102.55;15.45
16/04/2002;1102.55;1129.40;1102.55;1128.07;26.85
17/04/2002;1128.37;1133;1123.37;1126.09;9.63
18/04/2002;1126.07;1130.49;1109.29;1124.47;21.20
19/04/2002;1124.47;1128.82;1122.59;1125.16;6.23
22/04/2002;1125.17;1125.17;1105.62;1107.83;19.55
23/04/2002;1107.83;1111.17;1098.94;1100.96;12.23
24/04/2002;1100.96;1108.46;1092.51;1093.14;15.95
25/04/2002;1093.14;1094.36;1084.81;1091.48;9.55
26/04/2002;1091.48;1096.77;1076.31;1076.32;20.46
29/04/2002;1076.32;1078.95;1063.62;1065.45;15.33
30/04/2002;1065.45;1082.62;1063.46;1076.92;19.16
01/05/2002;1076.92;1088.32;1065.29;1086.46;23.03
02/05/2002;1086.46;1091.42;1079.46;1084.56;11.96
03/05/2002;1084.56;1084.56;1068.89;1073.46;15.67
06/05/2002;1073.43;1075.96;1052.65;1052.66;23.31
07/05/2002;1052.67;1058.67;1048.96;1049.49;9.71
08/05/2002;1049.49;1088.92;1049.49;1088.84;39.43
09/05/2002;1088.85;1088.85;1072.23;1073.01;16.62
10/05/2002;1073.01;1075.43;1053.93;1054.99;21.50
13/05/2002;1054.99;1074.84;1053.90;1074.56;20.94
14/05/2002;1074.56;1097.71;1074.56;1097.28;23.15
15/05/2002;1097.28;1104.23;1088.94;1091.07;15.29
